"Participant","cond","Trial","Distance","Hit"
"12","goal",12,11,0
"12","goal",13,11,0
"12","goal",14,12,0
"12","goal",15,11,1
"12","goal",16,10,0
"12","goal",17,10,0
"12","goal",18,11,0
"12","goal",19,11,0
"12","goal",20,11,0
"13","performance",1,11,0
"13","performance",2,11,1
"13","performance",3,11,0
"13","performance",4,11,0
"13","performance",5,9,1
"13","performance",6,10,0
"13","performance",7,11,1
"13","performance",8,10,1
"13","performance",9,11,1
"13","performance",10,11,1
"13","performance",11,11,0
"13","performance",12,10,1
"13","performance",13,12,0
"13","performance",14,13,0
"13","performance",15,11,1
"13","performance",16,12,1
"13","performance",17,13,1
"13","performance",18,12,0
"13","performance",19,13,1
"13","performance",20,12,1
"14","goal",1,14,1
"14","goal",2,14,1
"14","goal",3,13,1
"14","goal",4,13,1
"14","goal",5,12,0
"14","goal",6,11,1
"14","goal",7,11,0
"14","goal",8,11,0
"14","goal",9,12,0
"14","goal",10,12,0
"14","goal",11,13,0
"14","goal",12,13,0
"14","goal",13,13,1
"14","goal",14,13,0
"14","goal",15,13,1
"14","goal",16,11,0
"14","goal",17,11,0
"14","goal",18,10,0
"14","goal",19,10,0
"14","goal",20,14,1
