Participant,cond,Trial,Distance,Hit
14,goal,15,13,No
14,goal,16,13,Yes
14,goal,17,13,No
14,goal,18,13,No
14,goal,19,13,Yes
14,goal,20,13,No
15,performance,1,7,No
15,performance,2,7,No
15,performance,3,7,No
15,performance,4,7,No
15,performance,5,7,No
15,performance,6,14,Yes
15,performance,7,14,Yes
15,performance,8,10,No
15,performance,9,10,No
15,performance,10,10,Yes
15,performance,11,2,No
15,performance,12,2,No
15,performance,13,2,No
15,performance,14,2,Yes
15,performance,15,2,No
15,performance,16,7,No
15,performance,17,7,No
15,performance,18,7,No
15,performance,19,7,No
15,performance,20,7,No
16,goal,1,13,Yes
16,goal,2,11,No
16,goal,3,11,Yes
16,goal,4,10,No
16,goal,5,9,No
16,goal,6,7,No
16,goal,7,7,No
16,goal,8,10,No
16,goal,9,10,Yes
16,goal,10,10,Yes
16,goal,11,9,No
16,goal,12,10,No
16,goal,13,10,Yes
16,goal,14,10,No
16,goal,15,10,Yes
16,goal,16,9,No
16,goal,17,9,Yes
16,goal,18,9,No
16,goal,19,9,Yes
16,goal,20,8,No
17,performance,1,16,No
17,performance,2,17,Yes
17,performance,3,16,Yes
17,performance,4,14,Yes
17,performance,5,14,No
17,performance,6,15,Yes
17,performance,7,15,Yes
17,performance,8,14,No
17,performance,9,14,Yes
17,performance,10,14,No
17,performance,11,13,Yes
17,performance,12,15,No
17,performance,13,15,No
17,performance,14,15,Yes
17,performance,15,15,Yes
17,performance,16,15,Yes
17,performance,17,15,Yes
17,performance,18,14,No
17,performance,19,16,Yes
17,performance,20,16,Yes
18,goal,1,20,Yes
18,goal,2,19,Yes
18,goal,3,18,Yes
18,goal,4,17,Yes
18,goal,5,16,Yes
18,goal,6,15,Yes
18,goal,7,14,Yes
18,goal,8,13,Yes
18,goal,9,12,Yes
18,goal,10,11,Yes
18,goal,11,10,Yes
18,goal,12,9,No
18,goal,13,8,Yes
18,goal,14,7,No
18,goal,15,6,No
18,goal,16,5,No
18,goal,17,4,No
18,goal,18,3,No
18,goal,19,2,Yes
18,goal,20,1,No
19,performance,1,11,Yes
19,performance,2,9,No
19,performance,3,9,No
19,performance,4,9,No
19,performance,5,9,Yes
19,performance,6,7,No
19,performance,7,7,No
19,performance,8,7,No
19,performance,9,7,No
19,performance,10,7,No
19,performance,11,9,No
19,performance,12,9,No
19,performance,13,9,No
19,performance,14,8,No
19,performance,15,8,No
19,performance,16,3,No
19,performance,17,3,No
19,performance,18,3,No
19,performance,19,3,No
19,performance,20,3,No
20,goal,1,8,No
20,goal,2,8,No
20,goal,3,8,No
20,goal,4,8,No
20,goal,5,8,No
20,goal,6,5,No
20,goal,7,5,Yes
20,goal,8,5,No
