Participant,Direction,Slab,Accuracy,Athlete
40,L,3,12,2
40,L,5,9,2
40,L,7,4,2
40,L,9,7,2
40,L,11,1,2
40,L,13,1,2
40,L,15,0,2
40,L,19,1,2
