Participant,Direction,Slab,Accuracy,Athlete
34,L,3,12,2
34,L,5,11,2
34,L,7,7,2
34,L,9,5,2
34,L,11,6,2
34,L,13,2,2
34,L,15,1,2
34,L,19,2,2
