Participant,Direction,Slab,Accuracy,Athlete
36,L,3,12,2
36,L,5,10,2
36,L,7,9,2
36,L,9,5,2
36,L,11,6,2
36,L,13,3,2
36,L,15,4,2
36,L,19,0,2
