Participant,Direction,Slab,Accuracy,Athlete
41,L,3,12,2
41,L,5,12,2
41,L,7,6,2
41,L,9,4,2
41,L,11,3,2
41,L,13,6,2
41,L,15,4,2
41,L,19,0,2
