Participant,Direction,Slab,Accuracy,Athlete
12,L,3,12,1
12,L,5,8,1
12,L,7,9,1
12,L,9,5,1
12,L,11,2,1
12,L,13,3,1
12,L,15,2,1
12,L,19,0,1
