Participant,Direction,Slab,Accuracy,Athlete
24,L,3,12,2
24,L,5,12,2
24,L,7,9,2
24,L,9,8,2
24,L,11,4,2
24,L,13,1,2
24,L,15,0,2
24,L,19,1,2
