Participant,Direction,Slab,Accuracy,Athlete
42,L,3,12,2
42,L,5,11,2
42,L,7,5,2
42,L,9,6,2
42,L,11,1,2
42,L,13,2,2
42,L,15,2,2
42,L,19,0,2
