Participant,Direction,Slab,Accuracy,Athlete
8,L,3,12,1
8,L,5,7,1
8,L,7,8,1
8,L,9,6,1
8,L,11,5,1
8,L,13,4,1
8,L,15,0,1
8,L,19,3,1
