Participant,Direction,Slab,Accuracy,Athlete
23,L,3,12,2
23,L,5,11,2
23,L,7,8,2
23,L,9,7,2
23,L,11,3,2
23,L,13,0,2
23,L,15,2,2
23,L,19,0,2
